2023-04-07 13:36:03.839 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-dandelion-web-dev.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web.yaml,WEB'}, BootstrapPropertySource {name='bootstrapProperties-dandelion-web,WEB'}]
2023-04-07 13:36:03.844 [main] INFO  net.syl.dandelion.web.WebApplication - The following 1 profile is active: "dev"
2023-04-07 13:36:04.555 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-04-07 13:36:04.557 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-04-07 13:36:04.573 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-04-07 13:36:04.727 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=22b72ce4-5e40-3e1d-8073-4f41a17f2b72
2023-04-07 13:36:05.112 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-07 13:36:05.121 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-07 13:36:05.121 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-07 13:36:05.121 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.62]
2023-04-07 13:36:05.263 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-07 13:36:05.263 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1402 ms
2023-04-07 13:36:05.529 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
